	HEK25a51ko_1_wtHEK293_1	HEK25a51ko_1_wtHEK293_2	HEK25a51ko_1_wtHEK293_3	HEK25a51ko_2_wtHEK293_1	HEK25a51ko_2_wtHEK293_2	HEK25a51ko_2_wtHEK293_3	HEK25a51ko_3_wtHEK293_1	HEK25a51ko_3_wtHEK293_2	HEK25a51ko_3_wtHEK293_3
pro_L[c]	1.0003487341678796	1.0000723657710624	0.9986733998371511	0.9971547094260451	0.9966540651215099	0.9955278725439035	0.9979585808086061	0.9980617090695878	0.996626743413532
pro_L[e]	1.007766041837035	1.0104576685611786	1.004473005899143	0.9999668901723606	1.0033797497989052	0.9965398216760322	1.0025724564847325	1.0069776012232403	0.9997129532879055
3hpcoa[m]	0.9949943981055801	0.9971368186082649	0.9967503014170409	1.008108275399802	1.0107258938728165	1.010599525449088	1.007955030789468	1.010758431215132	1.010495355257333
3hpcoa[x]	1.0017394289430412	1.001646601417568	1.0014774982028227	1.0008979047671975	1.000842289023261	1.0006020800753168	1.000823970595702	1.0007658923053384	1.0005764805241977
prpncoa[x]	1.000546025968256	1.0005831410420032	1.0004802787060953	1.0004808194420276	1.000566797735166	1.0004141035292442	1.000243061682015	1.000277991418879	1.0001763578660468
ps_hs[c]	1.0088376451518692	1.011292711557208	1.0001941453349739	1.0109567226670855	1.0112308203044056	1.0007193670608583	1.0107279207685445	1.0118435547140927	1.000614025142205
ps_hs[r]	0.9732014709543468	1.0039466336140963	0.9868288439794639	0.9473626793465998	0.9764083164473372	0.9601992389884312	0.949701003924285	0.9790170784441021	0.9624614941763754
ps_hs[g]	0.9104024500190632	1.0044218985786912	0.9543399937611555	0.8328889666465193	0.9163139489163172	0.8718173979932371	0.8401751902896288	0.9245428590795445	0.8794552111625011
ps_hs[m]	1.0022015764473016	1.0028616306089566	0.9993628174580869	0.9979137087938111	1.0001266374775053	0.9962732249245011	0.9982578296811346	1.0001565674684063	0.9963793617164636
ptdcacrn[c]	0.9726756350804466	0.9676392920825837	0.9661809478918427	0.9914376854729844	0.9870589859450797	0.9854861194053807	0.9907299545116539	0.9860449036013398	0.9846186958229027
