	HEK25a51ko_1_wtHEK293_1	HEK25a51ko_1_wtHEK293_2	HEK25a51ko_1_wtHEK293_3	HEK25a51ko_2_wtHEK293_1	HEK25a51ko_2_wtHEK293_2	HEK25a51ko_2_wtHEK293_3	HEK25a51ko_3_wtHEK293_1	HEK25a51ko_3_wtHEK293_2	HEK25a51ko_3_wtHEK293_3
HC02020[e]	1.010014320424522	1.0093658838831827	0.998502782626543	1.0289837123304657	1.0283543902353491	1.0149349906421743	1.0246234133385936	1.024701042987873	1.0110009806212747
xol24oh[c]	1.0413361413807218	1.1201821617348422	1.094826844612094	1.19533909974906	1.2987103544596537	1.2716642501950848	0.9781250336768958	1.030673053500957	1.0130393700477456
xol24oh[e]	1.0203174142629747	1.039471193737526	1.0257086415946022	1.1346690453053745	1.1655857668856922	1.1477335494654874	1.054778046530539	1.0690628336846268	1.0564825237046496
xol27oh[e]	0.9997145802150196	0.9988786549542165	1.0004043397793905	1.0002333089196582	0.9982651878917013	1.0006809107693553	1.0020775239549269	1.0000813555208827	1.00217680440404
xol25oh[c]	0.9617940460417664	0.9624519809870715	0.9631661521736278	0.977046944132689	0.9771066731786789	0.9785754503879561	0.96104471760036	0.9591781149773043	0.9613668637964569
xol25oh[e]	0.9801718651125289	0.9810329748910603	0.980919168372814	0.9885186543075294	0.988997655223551	0.989184735675121	0.9803228792804127	0.9796492551910686	0.9804161361302015
dsmsterol[e]	1.0172545637620156	1.0080774131662944	1.0077761030001775	1.0087415838475478	0.9986679334523899	0.9989486386462298	1.0075750288135656	0.9972632451354849	0.997248537069435
chsterols[e]	0.9959298448793075	0.9930269950846611	0.9941957766626922	0.9963032211241202	0.9927085460137172	0.9944552536114476	1.0004065369199473	0.9971530829606503	0.9986532016957343
3ityr_L[e]	1.0027107541685152	0.9996555366989897	0.9976722103472021	1.0046160511580986	0.9993352090767817	0.9981982267041383	1.0054708319357017	1.001165432174851	1.0009000815947133
35diotyr[e]	1.0017121132535118	0.9987290944364469	0.9971221539522901	1.0035373050988081	0.9990837486964756	0.9982026357289437	1.0048101671512035	1.0013493957745845	1.0013578705814437
13_cis_retn[e]	1.0003893549960257	1.0017941759095257	1.0010986617776454	1.001706352942324	1.002571795379725	1.002130061220706	1.0013203656142762	1.002104364868685	1.0019528161000602
