fullName	ko1_wt1	ko1_wt2	ko1_wt3	ko1_wt4	ko1_wt5	ko2_wt1	ko2_wt2	ko2_wt3	ko2_wt4	ko2_wt5	ko3_wt1	ko3_wt2	ko3_wt3	ko3_wt4	ko3_wt5	ko4_wt1	ko4_wt2	ko4_wt3	ko4_wt4	ko4_wt5	ko5_wt1	ko5_wt2	ko5_wt3	ko5_wt4	ko5_wt5
L-Histidine	0.9552409498070276	1.0597608563704308	0.667339327468221	0.9638314254598285	0.928429943498142	0.8942182427646805	0.9920612081441862	0.6247083532766762	0.9022599416096811	0.8691199772923641	0.9879444757501813	1.0960427145412415	0.690186284576951	0.9968290539992246	0.9602155707262522	0.9258525833762276	1.027156893587717	0.6468083685585536	0.9341787696407329	0.8998664283029838	0.7566300102721857	0.8394184397178575	0.5285880617862084	0.7634343790366683	0.7353934709644876
L-Isoleucine	0.9779973517683997	1.1058155941797803	0.5297816800427624	0.8902563341787239	0.8976432099782777	0.9414771129477588	1.0645223846245482	0.5099986474578808	0.8570125080303126	0.8641235441582658	1.1748449756287926	1.3283899925137406	0.6364141414626383	1.069443776448246	1.0783174547900203	0.9153279250467058	1.034955658596266	0.4958336186130437	0.8332092941254401	0.840122823784756	0.666190039317776	0.7532569825805542	0.3608754948255771	0.6064228100383148	0.6114545855031891
L-Lactic acid	1.5661760481521465	1.264086771708805	0.9837946426562424	1.3805166417930537	1.1461185120441921	1.578510896932138	1.2740424335848834	0.9915427870376151	1.3913892790261861	1.1551450825543808	1.4268068467160477	1.151599568161763	0.8962497757264469	1.2576687013185792	1.0441289419935005	1.5935427547391063	1.2861748963628805	1.0009850596334153	1.4046392134023826	1.1661453085655686	1.4202987708975823	1.1463467917825645	0.8921617230890944	1.2519321131591301	1.0393663700066982
L-Leucine	1.0744771351572215	1.2070914908272194	0.5849157596771074	0.9612771915553691	0.9414542273412101	0.9282833591649606	1.0428541541375587	0.5053318944215048	0.8304854438201767	0.8133595998098864	1.2618463995671734	1.417586286213176	0.6869144267929519	1.128906445247621	1.105626716713681	0.9874162174303546	1.1092853211721225	0.537522193854094	0.8833884475808684	0.8651716650155158	0.7533574289447942	0.8463384768980403	0.41010703573060125	0.6739885753152483	0.6600899292986829
L-Lysine	1.2919250028090004	1.4599552495704433	0.7676603117074227	1.2263549500099702	1.185375156070662	1.2827037069285698	1.44953461424006	0.7621810285798987	1.2176016695765979	1.1769143746633257	1.4310796532975667	1.6172086211215766	0.8503458407724431	1.3584469786281286	1.3130532064081004	1.26260769531529	1.4268248767657912	0.7502400022002064	1.1985256061334268	1.1584757556640068	1.0868978689038822	1.228261892914033	0.6458334307508108	1.031733714253864	0.9972573703454248
L-Malic acid	4.431251286704131	5.171570506983662	3.301834917090748	4.583208282082222	3.773838205159921	4.574458708585524	5.338703271854198	3.40854230860639	4.7313265898820545	3.8957996117675853	3.982444210525632	4.64778223854253	2.9674176657807303	4.11901066034718	3.3916154014316553	4.226297325318903	4.932375346652849	3.1491186520194554	4.371226015112884	3.5992908731015465	4.076619449807225	4.757691123966868	3.0375899654917267	4.216415368118449	3.4718189586181616
L-Methionine	0.8371067759475017	0.9665761608423088	0.39435159109059786	0.7345534786262405	0.7397185724431747	0.6301646032057338	0.7276277057677457	0.2968634600309832	0.5529636298403657	0.5568518546035504	1.06650206674959	1.231450398955862	0.502417133642325	0.9358457315152786	0.9424262340138767	0.720967261103891	0.8324741685933944	0.3396395713303609	0.6326421250384296	0.637090617930301	0.5317716902236326	0.6140170567837084	0.2505116648939626	0.46662475578052404	0.4699058792263185
L-Phenylalanine	1.279020290969171	1.3649875976433374	0.7734092440609666	1.0688475989202457	1.0595800690913761	1.1812009477077468	1.2605934834105719	0.7142589828332642	0.9871022420160925	0.9785434919367832	1.3566866320719446	1.44787415785521	0.8203732106105208	1.1337515592332734	1.123921274350437	1.228316181460871	1.3108754923725638	0.74274903696145	1.0264753503437436	1.0175752125340878	0.9813937474113713	1.0473565611740001	0.5934378067891676	0.8201279979077909	0.8130170115597093
L-Proline	0.46679441799201604	0.500659352933135	0.3177009357479177	0.4705345254149209	0.43653694417834366	0.39100403651524845	0.41937054165741205	0.2661178957890454	0.3941368869585917	0.3656592724394649	0.4526878217267459	0.4855293533315118	0.3080999665397318	0.4563149025508525	0.42334473324127114	0.4265973708079872	0.4575460960961118	0.2903427690423176	0.4300154065248966	0.39894545750592	0.369699380056943	0.39652027801724066	0.2516179167153725	0.3726615307217737	0.34573557740668254
L-Serine	1.5363471873577808	1.5839084222934652	0.9046095585545488	1.5028879408810238	1.4496530463756119	1.3973796813359756	1.4406388507901615	0.8227847371142787	1.3669469304811102	1.3185273020715564	1.504272302000305	1.5508405835394035	0.8857236920507577	1.4715115965198284	1.4193881064888276	1.5867630580351462	1.6358850346374956	0.9342946967139966	1.552205832496615	1.497224012830671	1.2637720322378376	1.3028950631679639	0.7441158285077298	1.2362490476774275	1.1924589647009525
L-Threonine	1.0438795994511638	1.051883479676532	0.7976780538111462	1.037775202296914	1.0242412877215816	1.1033935384840363	1.111853738039727	0.8431554853917008	1.0969411158292772	1.0826356021467913	1.040838262118515	1.048818823083934	0.7953540232948243	1.0347516500909872	1.0212571664995311	1.1020444773871796	1.1104943331029855	0.8421246036398409	1.0955999437693602	1.0813119206841149	0.998703560078017	1.006361055903892	0.7631568933391781	0.9928633432816695	0.9799151367305665
L-Tryptophan	1.605179289567388	1.9022767647296428	0.6916968184032138	1.178201537585089	1.208343845700825	1.190668640979013	1.4110456725597504	0.5130777079485154	0.8739507372624418	0.8963092994949553	1.8881523282221881	2.237624373546004	0.8136343189699988	1.3859037372116894	1.421359757368825	1.3843959754171635	1.6406293766293583	0.596557841127108	1.0161465933831655	1.04214299784491	0.9779184011245632	1.1589181746558548	0.42140030781117355	0.7177920692885574	0.7361555741944107
L-Tyrosine	1.4563319726913728	1.6274704420100654	0.7118287915921826	1.1540342342948968	1.152016843895923	1.258449132952988	1.4063337240816147	0.6151072299365045	0.9972268746270597	0.995483602319631	1.6480048648406493	1.8416674605174916	0.8055150429126514	1.3059206746631566	1.3036377685303968	1.3732258472360312	1.534598236177356	0.6712080169569471	1.088178841669114	1.0862765744032814	0.9873694218261682	1.1033985241682223	0.4826083582404046	0.782416465510664	0.7810487075892671
L-Valine	1.0740350823620763	1.27030253176516	0.6256855738197744	0.9668678863034768	0.9570840984865944	0.933628838970562	1.104238676510432	0.5438910752908309	0.8404713746800326	0.8319665999196763	1.1961529875156147	1.414736067166289	0.6968260913079192	1.0768008696618414	1.0659046641108598	1.002056627325071	1.1851708492274118	0.5837540934779553	0.9020714398708658	0.8929433307585564	0.7651388453711302	0.9049590915496313	0.4457362197750303	0.688793308804853	0.681823372499698
